"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
0;"롱리브더킹";"#판타지#드라마";"https://webtoon.kakao.com/content/롱리브더킹/2302";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2302/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
1;"340일간의 유예";"#판타지#학원";"https://webtoon.kakao.com/content/340일간의 유예/3730";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3730/sharing/2x/e2edcf8c-d4e1-480c-9243-93e728ca6e05.jpg";3;0
2;"내 남자의 청첩장";"#판타지#로맨스";"https://webtoon.kakao.com/content/내 남자의 청첩장/3480";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3480/sharing/2x/cc98a2f3-d805-4e9a-920a-4a84fcc94401.jpg";3;0
3;"미생";"#판타지#로맨스";"https://webtoon.kakao.com/content/미생/818";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/818/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
4;"대사형 선유";"#판타지#로맨스";"https://webtoon.kakao.com/content/대사형 선유/2589";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2589/sharing/2x/5e0a85bd-79d3-416b-bf4d-811799d535ba.jpg";3;0
5;"이번 생은 가주가 되겠습니다";"#로맨스";"https://webtoon.kakao.com/content/이번 생은 가주가 되겠습니다/2473";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2473/sharing/2x/c9c552f1-0d88-4c87-a309-0129e7b5d9cd.jpg";3;0
6;"어느 날 아빠가 나타났다";"#액션";"https://webtoon.kakao.com/content/어느 날 아빠가 나타났다/3763";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3763/sharing/2x/2477a873-809f-47a5-acbc-b559f98df198.jpg";3;0
7;"묵향 다크레이디";"#액션";"https://webtoon.kakao.com/content/묵향 다크레이디/2341";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2341/sharing/2x/4e5a1a71-b3aa-4fde-b7d5-c15030507b44.jpg";3;0
8;"여주의 시스콤 오빠와 이혼하겠습니다";"#드라마";"https://webtoon.kakao.com/content/여주의 시스콤 오빠와 이혼하겠습니다/3755";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3755/sharing/2x/dd598c74-0f88-4d32-a45e-3e9b144706f4.jpg";3;0
9;"내 턴은 끝나지 않아";"#판타지#드라마";"https://webtoon.kakao.com/content/내 턴은 끝나지 않아/3754";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3754/sharing/2x/cf41b703-d5e7-4cd7-9590-86ac7170c225.jpg";3;0
10;"맛있는 세 끼-저스트 더 투 오브 어스";"#판타지#로맨스";"https://webtoon.kakao.com/content/맛있는 세 끼-저스트 더 투 오브 어스/3737";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3737/sharing/2x/9adaa644-ee93-40b2-a9fa-736e43b8bc4e.jpg";3;0
11;"주인공의 여동생이다";"#판타지#로맨스";"https://webtoon.kakao.com/content/주인공의 여동생이다/3170";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3170/sharing/2x/663ba6c3-085e-4ef0-b389-c6c0ccf19971.jpg";3;0
12;"새벽을 사랑하는 방법";"#액션";"https://webtoon.kakao.com/content/새벽을 사랑하는 방법/3729";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3729/sharing/2x/41875021-a7f3-4464-a15a-ef7b13d27e45.jpg";3;0
13;"사기꾼이지만 괜찮아";"#판타지#로맨스";"https://webtoon.kakao.com/content/사기꾼이지만 괜찮아/3194";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3194/sharing/2x/9dfa0d73-33b6-49a8-8da9-1e92637f3ff8.jpg";3;0
14;"방구석 아싸인 내가 폭군에게 청혼 받아버렸다";"#로맨스";"https://webtoon.kakao.com/content/방구석 아싸인 내가 폭군에게 청혼 받아버렸다/3710";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3710/sharing/2x/a10424a5-fa15-422f-88a6-fd51871404f9.jpg";3;0
15;"악녀는 화려하게 데뷔한다";"#로맨스";"https://webtoon.kakao.com/content/악녀는 화려하게 데뷔한다/3250";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3250/sharing/2x/e2290ffb-2eb5-4d52-a7c6-0b3aa5866983.jpg";3;0
16;"환골탈태";"#코미디/일상";"https://webtoon.kakao.com/content/환골탈태/2329";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2329/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
17;"이계막차";"#드라마";"https://webtoon.kakao.com/content/이계막차/2772";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2772/sharing/2x/bd3f4d90-6884-4101-88a9-c55e0dc117f9.jpg";3;0
