"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
0;"내 남자의 청첩장";"#로맨스";"https://webtoon.kakao.com/content/text/3480";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3480/sharing/2x/cc98a2f3-d805-4e9a-920a-4a84fcc94401.jpg";3;0
1;"이번 생은 가주가 되겠습니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/2473";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2473/sharing/2x/c9c552f1-0d88-4c87-a309-0129e7b5d9cd.jpg";3;0
2;"미생";"#드라마";"https://webtoon.kakao.com/content/text/818";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/818/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
3;"대사형 선유";"#액션";"https://webtoon.kakao.com/content/text/2589";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2589/sharing/2x/5e0a85bd-79d3-416b-bf4d-811799d535ba.jpg";3;0
4;"340일간의 유예";"#로맨스";"https://webtoon.kakao.com/content/text/3730";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3730/sharing/2x/e2edcf8c-d4e1-480c-9243-93e728ca6e05.jpg";3;0
5;"남편은 됐고, 돈이나 벌렵니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3067";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3067/sharing/2x/8f5f64f5-2e4f-4533-9afc-dc025042e489.jpg";3;0
6;"악녀인데 요리를 너무 잘해";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3793";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3793/sharing/2x/9053cba0-33f8-4e63-aa4e-3300b8ad09ae.jpg";3;0
7;"재투성이 소녀는 빛의 공녀님";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3794";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3794/sharing/2x/ccf0204b-fb10-45ee-85b0-6d74b4f867c1.jpg";3;0
8;"레벨업 못하는 플레이어";"#액션";"https://webtoon.kakao.com/content/text/2477";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2477/sharing/2x/ec485a48-eda3-4a93-83cd-2995b8f29eed.jpg";3;0
9;"전직 성녀와 흑막의 비밀 연애";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3782";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3782/sharing/2x/0823b60c-60e1-4970-9d00-95936883a767.jpg";3;0
10;"일하기 싫어!";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3780";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3780/sharing/2x/43f420f4-8c4a-4554-b987-175542165b57.jpg";3;0
11;"진화 특성으로 최강 네크로맨서";"#액션";"https://webtoon.kakao.com/content/text/3779";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3779/sharing/2x/77988ba8-6253-4b69-9959-aceabe804e7f.jpg";3;0
12;"악역 공작 영애의 특별한 쌀 재배법";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3774";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3774/sharing/2x/a078f356-defd-4cfb-bfd7-697729d6c28e.jpg";3;0
13;"롱리브더킹";"#드라마";"https://webtoon.kakao.com/content/text/2302";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2302/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
14;"어느 날 아빠가 나타났다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3763";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3763/sharing/2x/2477a873-809f-47a5-acbc-b559f98df198.jpg";3;0
15;"여주의 시스콤 오빠와 이혼하겠습니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3755";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3755/sharing/2x/dd598c74-0f88-4d32-a45e-3e9b144706f4.jpg";3;0
16;"환골탈태";"#판타지#드라마";"https://webtoon.kakao.com/content/text/2329";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2329/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
17;"악당들에게 키워지는 중입니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3507";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3507/sharing/2x/b356e1b9-7efb-4221-b73a-5a2a7d4ed3df.jpg";3;0
18;"화산권마";"#액션";"https://webtoon.kakao.com/content/text/2469";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2469/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
19;"철혈검가 사냥개의 회귀";"#판타지#학원";"https://webtoon.kakao.com/content/text/3455";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3455/sharing/2x/344e9cd2-e31d-47bc-a604-4c7b4958f190.jpg";3;0
20;"묵향 다크레이디";"#판타지#학원";"https://webtoon.kakao.com/content/text/2341";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2341/sharing/2x/4e5a1a71-b3aa-4fde-b7d5-c15030507b44.jpg";3;0
21;"불패검선";"#액션";"https://webtoon.kakao.com/content/text/1985";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/1985/sharing/2x/0a4dbe92-f93c-424a-a6a5-1c4e0481ec30.jpg";3;0
22;"더 그레이트";"#드라마";"https://webtoon.kakao.com/content/text/3682";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3682/sharing/2x/c5048590-cca3-4cda-a195-d909b32cb943.jpg";3;0
23;"유부녀의 탄생";"#코미디/일상";"https://webtoon.kakao.com/content/text/1078";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/1078/sharing/2x/c372c2cf-c5f8-414b-b8a3-d06bf6843377.jpg";3;0
24;"뱀파이어님의 대리식사";"#로맨스";"https://webtoon.kakao.com/content/text/1959";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/1959/sharing/2x/93cef769-be2c-4ebd-b1d2-570869797f8a.jpg";3;0
25;"세이렌: 악당과 계약 가족이 되었다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/2745";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2745/sharing/2x/9b8de433-d03a-4b4a-86af-1b9047af6d8d.jpg";3;0
26;"후작가의 역대급 막내아들";"#판타지#드라마";"https://webtoon.kakao.com/content/text/2901";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2901/sharing/2x/856cda78-f7be-4003-adab-fae4aff4eda9.jpg";3;0
27;"재활용 머학생";"#코미디/일상";"https://webtoon.kakao.com/content/text/3352";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3352/sharing/2x/6ff43fa4-660e-43c7-bc82-2aeebf826c77.jpg";3;0
28;"후궁계약";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/2862";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2862/sharing/2x/18bca0a8-8319-4457-a562-cb0ed489bb41.jpg";3;0
29;"악당 공작가의 실세 막내딸입니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3441";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3441/sharing/2x/99c5a067-1267-4917-a9f5-f2d59bb4205b.jpg";3;0
30;"맛있는 세 끼-저스트 더 투 오브 어스";"#로맨스";"https://webtoon.kakao.com/content/text/3737";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3737/sharing/2x/9adaa644-ee93-40b2-a9fa-736e43b8bc4e.jpg";3;0
31;"이계막차";"#판타지#드라마";"https://webtoon.kakao.com/content/text/2772";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2772/sharing/2x/bd3f4d90-6884-4101-88a9-c55e0dc117f9.jpg";3;0
32;"망할 가문을 살려보겠습니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/2381";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2381/sharing/2x/18f44b78-5906-4416-9c9a-58ed5c5cc4fc.jpg";3;0
33;"흑막을 치료하고 도망쳐버렸다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3309";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3309/sharing/2x/1d52b94d-40f7-4288-9118-0334c56b01b0.jpg";3;0
34;"튜토리얼이 너무 어렵다";"#판타지#학원";"https://webtoon.kakao.com/content/text/2467";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2467/sharing/2x/9f113a0c-0b61-486d-bb6a-1dca887805a4.jpg";3;0
35;"레벨업 닥터 최기석";"#판타지#드라마";"https://webtoon.kakao.com/content/text/3237";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3237/sharing/2x/43a5627c-f47b-449a-b1b7-a59cd3def526.jpg";3;0
36;"두 번째 남편";"#드라마";"https://webtoon.kakao.com/content/text/3196";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3196/sharing/2x/e15a71ed-73db-4d03-ac0c-5879adeeac72.jpg";3;0
37;"카르세아린";"#액션";"https://webtoon.kakao.com/content/text/3294";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3294/sharing/2x/387897a2-ef18-4f81-91c1-dfa9735c901b.jpg";3;0
38;"비선실세 레이디";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/2694";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2694/sharing/2x/0725cdb1-14ad-4ac6-970f-1aa5a51b53d0.jpg";3;0
39;"책 먹는 마법사";"#액션";"https://webtoon.kakao.com/content/text/2658";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2658/sharing/2x/3c044faa-0e0b-4bdc-987e-e18a6f9e0548.jpg";3;0
40;"가짜는 진짜가 되기를 바라지 않는다";"#판타지#로맨스";"https://webtoon.kakao.com/content/text/3454";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3454/sharing/2x/0b52e902-1572-42c7-847d-3c21e77fe23c.jpg";3;0
41;"시크릿 미미";"#로맨스";"https://webtoon.kakao.com/content/text/3060";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3060/sharing/2x/be8d548c-7590-4e51-96f8-727534cf2c53.jpg";3;0
42;"주인공의 여동생이다";"#판타지#드라마";"https://webtoon.kakao.com/content/text/3170";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3170/sharing/2x/663ba6c3-085e-4ef0-b389-c6c0ccf19971.jpg";3;0
43;"빙의검신";"#액션";"https://webtoon.kakao.com/content/text/2983";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2983/sharing/2x/1baeccf2-31fc-40cb-908e-3003920d385a.jpg";3;0
